filename,family,genus,species
3904289378.jpg,Cossidae,Cossus,Cossus cossus
3859769498.jpg,Cossidae,Cossus,Cossus cossus
3904507172.jpg,Cossidae,Cossus,Cossus cossus
3906432797.jpg,Cossidae,Cossus,Cossus cossus
3907262254.jpg,Cossidae,Cossus,Cossus cossus
3905151494.jpg,Cossidae,Cossus,Cossus cossus
3905267255.jpg,Cossidae,Cossus,Cossus cossus
3904404912.jpg,Cossidae,Cossus,Cossus cossus
3860347437.jpg,Cossidae,Cossus,Cossus cossus
3904718278.jpg,Cossidae,Cossus,Cossus cossus
3905006503.jpg,Cossidae,Cossus,Cossus cossus
3906558267.jpg,Cossidae,Cossus,Cossus cossus
3904222659.jpg,Cossidae,Cossus,Cossus cossus
3860403277.jpg,Cossidae,Cossus,Cossus cossus
3904854947.jpg,Cossidae,Cossus,Cossus cossus
3904330389.jpg,Cossidae,Cossus,Cossus cossus
3905424821.jpg,Cossidae,Cossus,Cossus cossus
3905722817.jpg,Cossidae,Cossus,Cossus cossus
3905396486.jpg,Cossidae,Cossus,Cossus cossus
3985695281.jpg,Cossidae,Cossus,Cossus cossus
3904222612.jpg,Cossidae,Cossus,Cossus cossus
3873379391.jpg,Cossidae,Cossus,Cossus cossus
3872900876.jpg,Cossidae,Cossus,Cossus cossus
3905981038.jpg,Cossidae,Cossus,Cossus cossus
3904044728.jpg,Cossidae,Cossus,Cossus cossus
3906034122.jpg,Cossidae,Cossus,Cossus cossus
3903987712.jpg,Cossidae,Cossus,Cossus cossus
3858800344.jpg,Cossidae,Cossus,Cossus cossus
3906699185.jpg,Cossidae,Cossus,Cossus cossus
3906843203.jpg,Cossidae,Cossus,Cossus cossus
3874125315.jpg,Cossidae,Cossus,Cossus cossus
3906405692.jpg,Cossidae,Cossus,Cossus cossus
4076389386.jpg,Cossidae,Cossus,Cossus cossus
3857959622.jpg,Cossidae,Cossus,Cossus cossus
3907150428.jpg,Cossidae,Cossus,Cossus cossus
3905152415.jpg,Cossidae,Cossus,Cossus cossus
3905690906.jpg,Cossidae,Cossus,Cossus cossus
3905370840.jpg,Cossidae,Cossus,Cossus cossus
3906041046.jpg,Cossidae,Cossus,Cossus cossus
3826090223.jpg,Cossidae,Cossus,Cossus cossus
3892561661.jpg,Cossidae,Cossus,Cossus cossus
3904189326.jpg,Cossidae,Cossus,Cossus cossus
3905781949.jpg,Cossidae,Cossus,Cossus cossus
3904712637.jpg,Cossidae,Cossus,Cossus cossus
3859160688.jpg,Cossidae,Cossus,Cossus cossus
3905790682.jpg,Cossidae,Cossus,Cossus cossus
3906215017.jpg,Cossidae,Cossus,Cossus cossus
3906574944.jpg,Cossidae,Cossus,Cossus cossus
3904296357.jpg,Cossidae,Cossus,Cossus cossus
3906278916.jpg,Cossidae,Cossus,Cossus cossus
3905139261.jpg,Cossidae,Cossus,Cossus cossus
3904866642.jpg,Cossidae,Cossus,Cossus cossus
3904816248.jpg,Cossidae,Cossus,Cossus cossus
3858891481.jpg,Cossidae,Cossus,Cossus cossus
3904283356.jpg,Cossidae,Cossus,Cossus cossus
3827063496.jpg,Cossidae,Cossus,Cossus cossus
3905232240.jpg,Cossidae,Cossus,Cossus cossus
3860001696.jpg,Cossidae,Cossus,Cossus cossus
3905799388.jpg,Cossidae,Cossus,Cossus cossus
3905219830.jpg,Cossidae,Cossus,Cossus cossus
3826400357.jpg,Cossidae,Cossus,Cossus cossus
3873536385.jpg,Cossidae,Cossus,Cossus cossus
3825877411.jpg,Cossidae,Cossus,Cossus cossus
3860089831.jpg,Cossidae,Cossus,Cossus cossus
3906259217.jpg,Cossidae,Cossus,Cossus cossus
3904458283.jpg,Cossidae,Cossus,Cossus cossus
3906617663.jpg,Cossidae,Cossus,Cossus cossus
3905353079.jpg,Cossidae,Cossus,Cossus cossus
3904876154.jpg,Cossidae,Cossus,Cossus cossus
3873735035.jpg,Cossidae,Cossus,Cossus cossus
3906482257.jpg,Cossidae,Cossus,Cossus cossus
3859442435.jpg,Cossidae,Cossus,Cossus cossus
3904153461.jpg,Cossidae,Cossus,Cossus cossus
3907358220.jpg,Cossidae,Cossus,Cossus cossus
3907363716.jpg,Cossidae,Cossus,Cossus cossus
3904236750.jpg,Cossidae,Cossus,Cossus cossus
3906492262.jpg,Cossidae,Cossus,Cossus cossus
3904364706.jpg,Cossidae,Cossus,Cossus cossus
3995881072.jpg,Cossidae,Cossus,Cossus cossus
3906554976.jpg,Cossidae,Cossus,Cossus cossus
3903978368.jpg,Cossidae,Cossus,Cossus cossus
3906317221.jpg,Cossidae,Cossus,Cossus cossus
3995068678.jpg,Cossidae,Cossus,Cossus cossus
3906470666.jpg,Cossidae,Cossus,Cossus cossus
3904893156.jpg,Cossidae,Cossus,Cossus cossus
3860172519.jpg,Cossidae,Cossus,Cossus cossus
3905527892.jpg,Cossidae,Cossus,Cossus cossus
3905232093.jpg,Cossidae,Cossus,Cossus cossus
3906317872.jpg,Cossidae,Cossus,Cossus cossus
3906061603.jpg,Cossidae,Cossus,Cossus cossus
3905446640.jpg,Cossidae,Cossus,Cossus cossus
3995458069.jpg,Cossidae,Cossus,Cossus cossus
3858263239.jpg,Cossidae,Cossus,Cossus cossus
3905758830.jpg,Cossidae,Cossus,Cossus cossus
3907240483.jpg,Cossidae,Cossus,Cossus cossus
3904587569.jpg,Cossidae,Cossus,Cossus cossus
3906580357.jpg,Cossidae,Cossus,Cossus cossus
3860329186.jpg,Cossidae,Cossus,Cossus cossus
4056990462.jpg,Cossidae,Cossus,Cossus cossus
3859767081.jpg,Cossidae,Cossus,Cossus cossus
3857752359.jpg,Cossidae,Cossus,Cossus cossus
3856861545.jpg,Cossidae,Cossus,Cossus cossus
3905012991.jpg,Cossidae,Cossus,Cossus cossus
3906180321.jpg,Cossidae,Cossus,Cossus cossus
3905145541.jpg,Cossidae,Cossus,Cossus cossus
3906087791.jpg,Cossidae,Cossus,Cossus cossus
3905398618.jpg,Cossidae,Cossus,Cossus cossus
3907448312.jpg,Cossidae,Cossus,Cossus cossus
3904149130.jpg,Cossidae,Cossus,Cossus cossus
3856782117.jpg,Cossidae,Cossus,Cossus cossus
3859680999.jpg,Cossidae,Cossus,Cossus cossus
3997178988.jpg,Cossidae,Cossus,Cossus cossus
3904447344.jpg,Cossidae,Cossus,Cossus cossus
3873168070.jpg,Cossidae,Cossus,Cossus cossus
3904600091.jpg,Cossidae,Cossus,Cossus cossus
3904447590.jpg,Cossidae,Cossus,Cossus cossus
3904915302.jpg,Cossidae,Cossus,Cossus cossus
3907396029.jpg,Cossidae,Cossus,Cossus cossus
3904557087.jpg,Cossidae,Cossus,Cossus cossus
3906506320.jpg,Cossidae,Cossus,Cossus cossus
3904733145.jpg,Cossidae,Cossus,Cossus cossus
3904278232.jpg,Cossidae,Cossus,Cossus cossus
3904328342.jpg,Cossidae,Cossus,Cossus cossus
3824361703.jpg,Cossidae,Cossus,Cossus cossus
3904978500.jpg,Cossidae,Cossus,Cossus cossus
3904792353.jpg,Cossidae,Cossus,Cossus cossus
3906023308.jpg,Cossidae,Cossus,Cossus cossus
3905243969.jpg,Cossidae,Cossus,Cossus cossus
3906350126.jpg,Cossidae,Cossus,Cossus cossus
3995191638.jpg,Cossidae,Cossus,Cossus cossus
3906645259.jpg,Cossidae,Cossus,Cossus cossus
3905647881.jpg,Cossidae,Cossus,Cossus cossus
3905241160.jpg,Cossidae,Cossus,Cossus cossus
3858532902.jpg,Cossidae,Cossus,Cossus cossus
3905646471.jpg,Cossidae,Cossus,Cossus cossus
3906949311.jpg,Cossidae,Cossus,Cossus cossus
3904784806.jpg,Cossidae,Cossus,Cossus cossus
3905429849.jpg,Cossidae,Cossus,Cossus cossus
3904193926.jpg,Cossidae,Cossus,Cossus cossus
3857212223.jpg,Cossidae,Cossus,Cossus cossus
3824408260.jpg,Cossidae,Cossus,Cossus cossus
3996864329.jpg,Cossidae,Cossus,Cossus cossus
3995741955.jpg,Cossidae,Cossus,Cossus cossus
3858701879.jpg,Cossidae,Cossus,Cossus cossus
3903909918.jpg,Cossidae,Cossus,Cossus cossus
3903995193.jpg,Cossidae,Cossus,Cossus cossus
3860574129.jpg,Cossidae,Cossus,Cossus cossus
3906713694.jpg,Cossidae,Cossus,Cossus cossus
3906491086.jpg,Cossidae,Cossus,Cossus cossus
3823307565.jpg,Cossidae,Cossus,Cossus cossus
3905962561.jpg,Cossidae,Cossus,Cossus cossus
3904940680.jpg,Cossidae,Cossus,Cossus cossus
3966742245.jpg,Cossidae,Cossus,Cossus cossus
3859559791.jpg,Cossidae,Cossus,Cossus cossus
3906789970.jpg,Cossidae,Cossus,Cossus cossus
3905442292.jpg,Cossidae,Cossus,Cossus cossus
3905083965.jpg,Cossidae,Cossus,Cossus cossus
3905365575.jpg,Cossidae,Cossus,Cossus cossus
3859714234.jpg,Cossidae,Cossus,Cossus cossus
3904461300.jpg,Cossidae,Cossus,Cossus cossus
3906471633.jpg,Cossidae,Cossus,Cossus cossus
3858472334.jpg,Cossidae,Cossus,Cossus cossus
3905163970.jpg,Cossidae,Cossus,Cossus cossus
3905736667.jpg,Cossidae,Cossus,Cossus cossus
3906744064.jpg,Cossidae,Cossus,Cossus cossus
3827317140.jpg,Cossidae,Cossus,Cossus cossus
3906048532.jpg,Cossidae,Cossus,Cossus cossus
3860086701.jpg,Cossidae,Cossus,Cossus cossus
3857537233.jpg,Cossidae,Cossus,Cossus cossus
3904472644.jpg,Cossidae,Cossus,Cossus cossus
3904131909.jpg,Cossidae,Cossus,Cossus cossus
3904354446.jpg,Cossidae,Cossus,Cossus cossus
3985722214.jpg,Cossidae,Cossus,Cossus cossus
3904658471.jpg,Cossidae,Cossus,Cossus cossus
3826746809.jpg,Cossidae,Cossus,Cossus cossus
3905601427.jpg,Cossidae,Cossus,Cossus cossus
3902707252.jpg,Cossidae,Cossus,Cossus cossus
3859538206.jpg,Cossidae,Cossus,Cossus cossus
3905128976.jpg,Cossidae,Cossus,Cossus cossus
3827391747.jpg,Cossidae,Cossus,Cossus cossus
3905711361.jpg,Cossidae,Cossus,Cossus cossus
3906023848.jpg,Cossidae,Cossus,Cossus cossus
3906041871.jpg,Cossidae,Cossus,Cossus cossus
3906121687.jpg,Cossidae,Cossus,Cossus cossus
3860772448.jpg,Cossidae,Cossus,Cossus cossus
3904734668.jpg,Cossidae,Cossus,Cossus cossus
3905433020.jpg,Cossidae,Cossus,Cossus cossus
3997178963.jpg,Cossidae,Cossus,Cossus cossus
3904472970.jpg,Cossidae,Cossus,Cossus cossus
3824659495.jpg,Cossidae,Cossus,Cossus cossus
3859512365.jpg,Cossidae,Cossus,Cossus cossus
3859588439.jpg,Cossidae,Cossus,Cossus cossus
3904706892.jpg,Cossidae,Cossus,Cossus cossus
3907272079.jpg,Cossidae,Cossus,Cossus cossus
3872947949.jpg,Cossidae,Cossus,Cossus cossus
3904136596.jpg,Cossidae,Cossus,Cossus cossus
3826862058.jpg,Cossidae,Cossus,Cossus cossus
4056845663.jpg,Cossidae,Cossus,Cossus cossus
3904470941.jpg,Cossidae,Cossus,Cossus cossus
3905656760.jpg,Cossidae,Cossus,Cossus cossus
3905085837.jpg,Cossidae,Cossus,Cossus cossus
3906187425.jpg,Cossidae,Cossus,Cossus cossus
3904738094.jpg,Cossidae,Cossus,Cossus cossus
3907072539.jpg,Cossidae,Cossus,Cossus cossus
3857224060.jpg,Cossidae,Cossus,Cossus cossus
3906270667.jpg,Cossidae,Cossus,Cossus cossus
3906252167.jpg,Cossidae,Cossus,Cossus cossus
3906132693.jpg,Cossidae,Cossus,Cossus cossus
3904889624.jpg,Cossidae,Cossus,Cossus cossus
3906838857.jpg,Cossidae,Cossus,Cossus cossus
3907351215.jpg,Cossidae,Cossus,Cossus cossus
3904396856.jpg,Cossidae,Cossus,Cossus cossus
3904682390.jpg,Cossidae,Cossus,Cossus cossus
3858452226.jpg,Cossidae,Cossus,Cossus cossus
3905566564.jpg,Cossidae,Cossus,Cossus cossus
3906099451.jpg,Cossidae,Cossus,Cossus cossus
3905000962.jpg,Cossidae,Cossus,Cossus cossus
3904781766.jpg,Cossidae,Cossus,Cossus cossus
3906139456.jpg,Cossidae,Cossus,Cossus cossus
3906423586.jpg,Cossidae,Cossus,Cossus cossus
3859129989.jpg,Cossidae,Cossus,Cossus cossus
3872999026.jpg,Cossidae,Cossus,Cossus cossus
3906421240.jpg,Cossidae,Cossus,Cossus cossus
3856481821.jpg,Cossidae,Cossus,Cossus cossus
3905364783.jpg,Cossidae,Cossus,Cossus cossus
3904421850.jpg,Cossidae,Cossus,Cossus cossus
3904901547.jpg,Cossidae,Cossus,Cossus cossus
3905363160.jpg,Cossidae,Cossus,Cossus cossus
3857242630.jpg,Cossidae,Cossus,Cossus cossus
3995918628.jpg,Cossidae,Cossus,Cossus cossus
3904215340.jpg,Cossidae,Cossus,Cossus cossus
3907260703.jpg,Cossidae,Cossus,Cossus cossus
3907378518.jpg,Cossidae,Cossus,Cossus cossus
3881426432.jpg,Cossidae,Cossus,Cossus cossus
3906724731.jpg,Cossidae,Cossus,Cossus cossus
3906444451.jpg,Cossidae,Cossus,Cossus cossus
3903948990.jpg,Cossidae,Cossus,Cossus cossus
3906038857.jpg,Cossidae,Cossus,Cossus cossus
3966594252.jpg,Cossidae,Cossus,Cossus cossus
3995220714.jpg,Cossidae,Cossus,Cossus cossus
3904907144.jpg,Cossidae,Cossus,Cossus cossus
3905134541.jpg,Cossidae,Cossus,Cossus cossus
3905488328.jpg,Cossidae,Cossus,Cossus cossus
3860093045.jpg,Cossidae,Cossus,Cossus cossus
3907400098.jpg,Cossidae,Cossus,Cossus cossus
3906421626.jpg,Cossidae,Cossus,Cossus cossus
3906900500.jpg,Cossidae,Cossus,Cossus cossus
3904702356.jpg,Cossidae,Cossus,Cossus cossus
3907358035.jpg,Cossidae,Cossus,Cossus cossus
3905708853.jpg,Cossidae,Cossus,Cossus cossus
3906339683.jpg,Cossidae,Phragmataecia,Phragmataecia castaneae
3905680884.jpg,Cossidae,Phragmataecia,Phragmataecia castaneae
3904072118.jpg,Cossidae,Phragmataecia,Phragmataecia castaneae
3070298990.jpg,Cossidae,Phragmataecia,Phragmataecia castaneae
3904486996.jpg,Cossidae,Phragmataecia,Phragmataecia castaneae
1970210679.jpg,Cossidae,Phragmataecia,Phragmataecia castaneae
3717650476.jpg,Cossidae,Phragmataecia,Phragmataecia castaneae
3906260524.jpg,Cossidae,Phragmataecia,Phragmataecia castaneae
3717039904.jpg,Cossidae,Phragmataecia,Phragmataecia castaneae
2834558431.jpg,Cossidae,Phragmataecia,Phragmataecia castaneae
3823318695.jpg,Cossidae,Phragmataecia,Phragmataecia castaneae
3906454799.jpg,Cossidae,Phragmataecia,Phragmataecia castaneae
3826089240.jpg,Cossidae,Phragmataecia,Phragmataecia castaneae
3731907522.jpg,Cossidae,Phragmataecia,Phragmataecia castaneae
3906809250.jpg,Cossidae,Phragmataecia,Phragmataecia castaneae
3725829448.jpg,Cossidae,Phragmataecia,Phragmataecia castaneae
3905824263.jpg,Cossidae,Phragmataecia,Phragmataecia castaneae
3717349008.jpg,Cossidae,Phragmataecia,Phragmataecia castaneae
3906382218.jpg,Cossidae,Phragmataecia,Phragmataecia castaneae
3827363273.jpg,Cossidae,Phragmataecia,Phragmataecia castaneae
3721435245.jpg,Cossidae,Phragmataecia,Phragmataecia castaneae
1966339585.jpg,Cossidae,Phragmataecia,Phragmataecia castaneae
3731437153.jpg,Cossidae,Phragmataecia,Phragmataecia castaneae
2842333102.jpg,Cossidae,Phragmataecia,Phragmataecia castaneae
2837051439.jpg,Cossidae,Phragmataecia,Phragmataecia castaneae
3717309927.jpg,Cossidae,Phragmataecia,Phragmataecia castaneae
1966570354.jpg,Cossidae,Phragmataecia,Phragmataecia castaneae
3887213363.jpg,Cossidae,Phragmataecia,Phragmataecia castaneae
1966288285.jpg,Cossidae,Phragmataecia,Phragmataecia castaneae
3905970435.jpg,Cossidae,Phragmataecia,Phragmataecia castaneae
3904837691.jpg,Cossidae,Phragmataecia,Phragmataecia castaneae
3906067195.jpg,Cossidae,Phragmataecia,Phragmataecia castaneae
3729270822.jpg,Cossidae,Phragmataecia,Phragmataecia castaneae
2842474810.jpg,Cossidae,Phragmataecia,Phragmataecia castaneae
3873400139.jpg,Cossidae,Phragmataecia,Phragmataecia castaneae
3905967671.jpg,Cossidae,Phragmataecia,Phragmataecia castaneae
3904605082.jpg,Cossidae,Phragmataecia,Phragmataecia castaneae
3717022016.jpg,Cossidae,Phragmataecia,Phragmataecia castaneae
3904956193.jpg,Cossidae,Phragmataecia,Phragmataecia castaneae
3904607424.jpg,Cossidae,Phragmataecia,Phragmataecia castaneae
3902182870.jpg,Cossidae,Phragmataecia,Phragmataecia castaneae
3731433779.jpg,Cossidae,Phragmataecia,Phragmataecia castaneae
3907086985.jpg,Cossidae,Phragmataecia,Phragmataecia castaneae
3726229990.jpg,Cossidae,Phragmataecia,Phragmataecia castaneae
1969459160.jpg,Cossidae,Phragmataecia,Phragmataecia castaneae
3432861420.jpg,Cossidae,Phragmataecia,Phragmataecia castaneae
1969566452.jpg,Cossidae,Phragmataecia,Phragmataecia castaneae
3727365848.jpg,Cossidae,Phragmataecia,Phragmataecia castaneae
3906594002.jpg,Cossidae,Phragmataecia,Phragmataecia castaneae
3906696701.jpg,Cossidae,Phragmataecia,Phragmataecia castaneae
4080945445.jpg,Cossidae,Phragmataecia,Phragmataecia castaneae
1965861263.jpg,Cossidae,Phragmataecia,Phragmataecia castaneae
3721861775.jpg,Cossidae,Phragmataecia,Phragmataecia castaneae
2868097418.jpg,Cossidae,Phragmataecia,Phragmataecia castaneae
3727397534.jpg,Cossidae,Phragmataecia,Phragmataecia castaneae
3904742450.jpg,Cossidae,Phragmataecia,Phragmataecia castaneae
3717088183.jpg,Cossidae,Phragmataecia,Phragmataecia castaneae
3902827136.jpg,Cossidae,Phragmataecia,Phragmataecia castaneae
3857225309.jpg,Cossidae,Phragmataecia,Phragmataecia castaneae
3717607454.jpg,Cossidae,Phragmataecia,Phragmataecia castaneae
3906414020.jpg,Cossidae,Phragmataecia,Phragmataecia castaneae
3727292663.jpg,Cossidae,Phragmataecia,Phragmataecia castaneae
2834237289.jpg,Cossidae,Phragmataecia,Phragmataecia castaneae
3726690059.jpg,Cossidae,Phragmataecia,Phragmataecia castaneae
3720910565.jpg,Cossidae,Phragmataecia,Phragmataecia castaneae
3731633412.jpg,Cossidae,Phragmataecia,Phragmataecia castaneae
3906832319.jpg,Cossidae,Phragmataecia,Phragmataecia castaneae
3727704938.jpg,Cossidae,Phragmataecia,Phragmataecia castaneae
3721777213.jpg,Cossidae,Phragmataecia,Phragmataecia castaneae
3717115898.jpg,Cossidae,Phragmataecia,Phragmataecia castaneae
3904844430.jpg,Cossidae,Phragmataecia,Phragmataecia castaneae
3904219736.jpg,Cossidae,Phragmataecia,Phragmataecia castaneae
3720482851.jpg,Cossidae,Phragmataecia,Phragmataecia castaneae
3904263069.jpg,Cossidae,Phragmataecia,Phragmataecia castaneae
3721630792.jpg,Cossidae,Phragmataecia,Phragmataecia castaneae
3728606407.jpg,Cossidae,Phragmataecia,Phragmataecia castaneae
1966315952.jpg,Cossidae,Phragmataecia,Phragmataecia castaneae
2845181014.jpg,Cossidae,Phragmataecia,Phragmataecia castaneae
3731593820.jpg,Cossidae,Phragmataecia,Phragmataecia castaneae
3720725080.jpg,Cossidae,Phragmataecia,Phragmataecia castaneae
3904100130.jpg,Cossidae,Phragmataecia,Phragmataecia castaneae
4094051301.jpg,Cossidae,Phragmataecia,Phragmataecia castaneae
3070397344.jpg,Cossidae,Phragmataecia,Phragmataecia castaneae
3905699964.jpg,Cossidae,Phragmataecia,Phragmataecia castaneae
3904360625.jpg,Cossidae,Phragmataecia,Phragmataecia castaneae
3729366881.jpg,Cossidae,Phragmataecia,Phragmataecia castaneae
1969825673.jpg,Cossidae,Phragmataecia,Phragmataecia castaneae
3873065304.jpg,Cossidae,Phragmataecia,Phragmataecia castaneae
3731337146.jpg,Cossidae,Phragmataecia,Phragmataecia castaneae
3728210217.jpg,Cossidae,Phragmataecia,Phragmataecia castaneae
3729003426.jpg,Cossidae,Phragmataecia,Phragmataecia castaneae
3906390549.jpg,Cossidae,Phragmataecia,Phragmataecia castaneae
3903979953.jpg,Cossidae,Phragmataecia,Phragmataecia castaneae
3721088750.jpg,Cossidae,Phragmataecia,Phragmataecia castaneae
3731793945.jpg,Cossidae,Phragmataecia,Phragmataecia castaneae
3721519601.jpg,Cossidae,Phragmataecia,Phragmataecia castaneae
1970172141.jpg,Cossidae,Phragmataecia,Phragmataecia castaneae
1966151740.jpg,Cossidae,Phragmataecia,Phragmataecia castaneae
3731349325.jpg,Cossidae,Phragmataecia,Phragmataecia castaneae
